2,2,1,1,0.91,0.91,5.002
0.222,200,2.701,100000,1.994,8.5,3.994
0.208,200,2.434,100000,1.994,8.5,3.994
0.143,200,1.716,100000,1.994,8.5,3.994
0.176,200,3.392,100000,1.994,8.5,3.994
0.13,200,2.145,100000,1.994,8.5,3.994
0.137,200,2.193,100000,1.994,8.5,3.994
0.209,200,4.176,100000,1.994,8.5,3.994
0.254,200,3.618,100000,1.994,8.5,3.994
0.142,200,3.036,100000,1.994,8.5,3.994
0.217,200,4.727,100000,1.994,8.5,3.994
0.176,200,2.866,100000,1.994,8.5,3.994
0.211,200,3.413,100000,1.994,8.5,3.994
0.155,200,3.166,100000,1.994,8.5,3.994
0.244,200,4.058,100000,1.994,8.5,3.994
0.154,200,2.514,100000,1.994,8.5,3.994
0.163,200,2.159,100000,1.994,8.5,3.994
